,Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding
1390,SCHW,12/31/2012,43039000000,-2495000000,0,10,-148000000,3881000000,,41132000000,0,15000000,0,,0,0,418000000,1600000000,1450000000,0,0,675000000,1228000000,100,4883000000,522000000,319000000,150000000,0,-16035000000,4741000000,1632000000,75679000000,0,0,-82000000,3984000000,1266000000,18978000000,-16260000000,928000000,256000000,883000000,928000000,13791000000,0,1450000000,30,813000000,0,79377000000,298000000,18499000000,-80000000,0,-2582000000,212000000,30,15,19,,0,8554000000,898000000,3237000000,0,0,1.34E+11,0,0,9589000000,1.24E+11,1.34E+11,4883000000,-4024000000,2012,0.69,1344927536
80,ALK,12/31/2012,806000000,9000000,28000000,22,-518000000,660000000,87,174000000,0,70000000,2319000000,116,0,889000000,264000000,560000000,514000000,0,0,3609000000,0,50,2338000000,198000000,0,46000000,58000000,-82000000,35000000,871000000,39000000,0,0,-275000000,20000000,753000000,-88000000,-645000000,316000000,10000000,316000000,316000000,278000000,0,532000000,11,120000000,123000000,534000000,-436000000,216000000,-45000000,823000000,119000000,264000000,11,36,7,112,0,1127000000,-29000000,1542000000,161000000,1130000000,5505000000,1737000000,1501000000,1421000000,4084000000,5505000000,4657000000,0,2012,4.47,70693512.3
480,DLR,12/31/2012,739861000,-137174000,1589000,6,-1560130000,3562642000,,100331000,0,1247000,461898000,,30621000,0,393995000,367970000,210862000,0,8135000,7536502000,0,64,817169000,2647000,560260000,157108000,0,-850169000,22142000,3554836000,66634000,30079000,0,1289825000,15650000,542948000,1948635000,-2475933000,210334000,13824000,171662000,210334000,490001000,0,366078000,29,34865000,0,0,-668295000,40923000,-65634000,148233000,34114000,382553000,16,6,16,,0,0,1031911000,68538000,877900000,0,8819214000,0,0,3468305000,5350909000,8819214000,1279067000,0,2012,1.48,142117567.6
704,GPC,12/31/2012,2237638000,13366000,24283000,22,-101987000,0,16,403095000,-25845000,154841000,9235777000,194,279463000,0,98383000,1039414000,1018932000,2304000,0,566365000,298040000,29,3778091000,370891000,199799000,20482000,2602560000,0,220694000,250000000,0,10292000,0,0,-121959000,906438000,-378834000,-651867000,648041000,10537000,648041000,648041000,1490028000,8047000,1015131000,8,643263000,324448000,0,-501492000,0,-549880000,1061244000,-58738000,98383000,8,34,5,89,0,3344538000,-88869000,2656530000,250000000,0,6807061000,4820131000,2487638000,2997887000,3809174000,6807061000,13013868000,0,2012,4.17,155405515.6
1442,SRCL,12/31/2012,196878000,-4329000,35000,17,-65236000,116720000,10,31324000,0,860000,1055844000,133,0,359780000,76283000,468871000,417197000,1819000,0,335870000,2065103000,45,857305000,147256000,667471000,51674000,0,-89000,25874000,1268303000,0,15530000,0,-131267000,12149000,390784000,-91526000,-288928000,267996000,16152000,267996000,267996000,345241000,0,468836000,25,37008000,64218000,46401000,-39064000,0,-223603000,30272000,6863000,31652000,22,27,14,133,0,1463277000,16433000,356817000,87781000,503000,3546738000,441286000,331060000,1541793000,2004945000,3546738000,1913149000,0,2012,3.14,85349044.59
624,FCX,12/31/2012,3100000000,-365000000,-82000000,18,-3494000000,19119000000,111,3705000000,-729000000,107000000,11561000000,308,0,3490000000,1201000000,5900000000,5714000000,0,3000000,22954000000,0,36,6449000000,1510000000,0,186000000,4576000000,0,-247000000,3525000000,0,3768000000,0,-157000000,-1117000000,3774000000,-1428000000,-3463000000,3100000000,10000000,3041000000,3100000000,1629000000,-22000000,5814000000,32,2189000000,387000000,241000000,-506000000,0,31000000,3771000000,-76000000,0,32,33,17,171,285000000,2399000000,0,431000000,2000000,0,35440000000,10297000000,3343000000,17543000000,17897000000,35440000000,18010000000,-3576000000,2012,3.2,968750000
1342,RCL,12/31/2012,999675000,8026000,-29038000,0,-1291499000,3109887000,8,310509000,-1645000,2291000,5157434000,22,0,0,730493000,381573000,25788000,-6125000,0,17451034000,432975000,33,2530590000,0,0,355785000,146295000,12626000,157609000,6970464000,0,0,0,-2816000,-67331000,1381734000,-179617000,-1263323000,18287000,419870000,18287000,18287000,281421000,385444000,403110000,5,1055861000,207662000,1546993000,-134516000,1599000,15550000,482566000,49094000,730493000,0,0,0,18,0,5744791000,15146000,1011543000,1519483000,0,19827930000,888060000,4066151000,8308749000,11519181000,19827930000,7688024000,-413704000,2012,0.08,228587500
1200,O,12/31/2012,94171000,573000,0,7,0,0,,5248000,0,2572092000,21306000,,0,0,163700000,389242000,266099000,0,0,5042137000,16945000,96,463275000,1061000,242125000,123143000,0,-1058960000,8184000,2711853000,0,0,0,691892000,1083000,326469000,682988000,-1008374000,159152000,-17817000,114538000,141895000,21659000,11538000,389242000,80,101234000,0,0,0,-3147000,50586000,52530000,12677000,147515000,55,11,33,,0,-768661000,270036000,38123000,158000000,0,5429348000,0,0,2412794000,3016554000,5429348000,484581000,0,2012,0.86,185060465.1
1268,PGR,12/31/2012,1855500000,-333300000,-1800000,15,-127700000,1077000000,,179100000,0,604600000,15590900000,,543900000,0,344500000,1441500000,1317700000,1000000,0,933700000,0,9,1493000000,415400000,0,123800000,0,-141000000,494500000,2063100000,14575500000,0,0,-382500000,23400000,1691400000,-1404100000,-264900000,902300000,-297900000,902300000,902300000,4151000000,0,1317700000,8,321500000,0,0,871000000,5800000,3800000,12769100000,581300000,36100000,8,22,5,,0,3454400000,-173700000,15400000,0,1990000000,22694700000,0,0,6007000000,16687700000,22694700000,17083900000,0,2012,1.5,601533333.3
552,EOG,12/31/2012,2309671000,-178683000,14495000,4,-7355116000,2500340000,30,876435000,-156762000,202720000,1699428000,123,0,4327396000,3169703000,1494292000,1280740000,3444000,0,23337681000,0,85,9983208000,710461000,0,213552000,683187000,0,97058000,5905602000,0,0,0,1229736000,260709000,5236777000,1139751000,-6119263000,570279000,1779544000,570279000,570279000,1685781000,1471274000,1479797000,13,409013000,344481000,200191000,439895000,66800000,1235853000,894758000,-44362000,3169703000,11,10,5,99,0,10175631000,24295000,3862434000,414196000,0,27336578000,3589884000,2924058000,13284764000,14051814000,27336578000,11682636000,-33822000,2012,2.13,267736619.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean:,2.172,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S.D.,1.508971688,
